LABEL,CLASS_0,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,attractiveness,OBJECTID,GNIS_FEATU,FEATURE_NA,CTU_CLASS,COUNTY_GNI,COUNTY_COD,COUNTY_NAM,POPULATION,SHAPE_Leng,ORIG_FID,UNIQUE_ID,Shape_Length,Shape_Area,LABEL_1
UNIQU_808,0,5291,6949,57290,4713,3468,0.840443437865939,809,664160,Fergus Falls,TOWNSHIP,659501,56,Otter Tail,746,57721.121722800002317,2284,808,57721.121722805517493,69953000.764144748449326,UNIQU_808
UNIQU_809,0,1095,31598,66714,4359,22,0.807624195475392,810,664197,Forestville,TOWNSHIP,659468,23,Fillmore,371,38668.445894700002100,721,809,38668.445894673975999,93425348.213430866599083,UNIQU_809
UNIQU_810,0,31900,6713,94168,4652,26,0.761646745575044,811,664102,Equality,TOWNSHIP,659508,63,Red Lake,151,44989.794047099996533,272,810,44989.794047062619939,123710838.646288290619850,UNIQU_810
UNIQU_811,0,4480,1329,67725,2400,1849,0.914140621986810,812,664198,Fork,TOWNSHIP,659489,45,Marshall,7,48368.536655999996583,960,811,48368.536655997944763,70176254.491595864295959,UNIQU_811
UNIQU_812,0,8162,4139,79021,4416,7532,0.831885349084923,813,664103,Erdahl,TOWNSHIP,659471,26,Grant,405,38575.041517099998600,1440,812,38575.041517103723891,92943412.997292518615723,UNIQU_812
UNIQU_813,0,11597,28500,19051,4436,4855,0.526698227618755,814,664201,Fort Ripley,TOWNSHIP,659463,18,Crow Wing,1047,42464.093651700000919,1377,813,42464.093651719733316,61563281.434187471866608,UNIQU_813
UNIQU_814,0,234,1092,1798,624,347,0.703833943833944,815,2394797,Fort Ripley,CITY,659463,18,Crow Wing,120,10564.105294000000868,2028,814,10564.105293964648808,3684848.925000334624201,UNIQU_814
UNIQU_815,0,1849,3757,16571,21363,4103,0.831637386394643,816,2394758,Fergus Falls,CITY,659501,56,Otter Tail,14085,75153.256338899998809,2409,815,75153.256338944280287,42852864.374578475952148,UNIQU_815
UNIQU_816,0,264,157,819,347,50,0.766768478924863,817,2394697,Erhard,CITY,659501,56,Otter Tail,127,4861.866976889999933,1205,816,4861.866976893421452,1476393.555431531742215,UNIQU_816
UNIQU_817,0,1241,836,120,19078,871,0.887586923146392,818,664202,Fort Snelling,UNORGANIZED TERRITORY,659472,27,Hennepin,0,24707.604319499998383,698,817,24707.604319515263342,19953586.324258185923100,UNIQU_817
UNIQU_818,0,12912,8141,70605,4343,6244,0.777501100298303,819,664242,Garden,TOWNSHIP,659505,60,Polk,225,38385.545635700000275,1283,818,38385.545635711838258,92021225.320687085390091,UNIQU_818
UNIQU_819,0,11872,22460,55001,4111,7133,0.688857293416984,820,664105,Erhards Grove,TOWNSHIP,659501,56,Otter Tail,410,43431.941707799996948,979,819,43431.941707791178487,90518292.563563197851181,UNIQU_819
